complaint_id,customer_id,order_id,complaint_type,channel,severity,created_at,status,resolution_days,compensation_amount,severity_score
CP0287,C0405,O00971,driverbehaviour,phone,high,2025-12-27 15:30:00,open,20,0.0,3
CP0288,C0459,O01202,delay,phone,medium,2024-11-14 15:24:00,escalated,5,20.75,2
CP0289,C0532,O01012,missedpickup,app,medium,2025-03-14 05:05:00,resolved,1,25.56,2
CP0290,C0259,O00351,supportexperience,app,medium,2024-05-03 03:31:00,resolved,6,18.82,2
CP0291,C0515,O00588,supportexperience,phone,medium,2024-06-11 11:49:00,awaitingcustomer,7,20.04,2
CP0292,C0187,O00765,missedpickup,phone,low,2024-07-21 03:25:00,open,11,15.26,1
CP0293,C0449,O00202,driverbehaviour,phone,medium,2024-02-02 01:04:00,resolved,3,28.0,2
CP0294,C0339,O00089,appissue,phone,high,2025-04-30 18:23:00,open,19,39.64,3
CP0295,C0182,O01107,billing,email,medium,2024-01-30 07:32:00,open,1,4.94,2
CP0296,C0243,O00041,missedpickup,phone,medium,2024-09-17 13:42:00,resolved,1,6.59,2
CP0297,C0571,O00776,delay,app,low,2025-03-07 00:53:00,resolved,6,5.67,1
CP0298,C0285,O00483,delay,app,medium,2024-11-19 00:34:00,escalated,1,16.85,2
CP0299,C0178,O00326,delay,app,high,2024-11-15 09:05:00,open,11,0.0,3
CP0300,C0408,O00553,supportexperience,phone,low,2024-01-15 20:55:00,open,14,4.56,1
CP0301,C0023,O00414,driverbehaviour,phone,medium,2025-04-05 20:30:00,resolved,4,16.83,2
CP0302,C0372,O00373,missedpickup,chatbot,high,2024-06-03 20:00:00,resolved,8,37.07,3
CP0303,C0294,O00872,missedpickup,app,low,2024-11-11 11:01:00,open,9,15.19,1
CP0304,C0178,O00455,delay,phone,medium,2024-08-14 02:36:00,open,7,20.69,2
CP0305,C0226,O01015,driverbehaviour,chatbot,high,2025-08-08 21:14:00,resolved,11,37.25,3
CP0306,C0004,O00081,damage,app,high,2025-04-26 12:53:00,resolved,21,35.58,3
CP0307,C0248,O00900,driverbehaviour,chatbot,medium,2024-09-20 00:05:00,resolved,4,0.0,2
CP0308,C0597,O00865,driverbehaviour,phone,high,2024-03-28 00:53:00,resolved,13,37.97,3
CP0309,C0175,O01106,damage,email,high,2024-03-01 00:14:00,resolved,7,57.63,3
CP0310,C0421,O00219,driverbehaviour,phone,high,2024-06-08 23:42:00,resolved,13,45.71,3
CP0311,C0636,O00894,driverbehaviour,app,high,2024-01-15 22:16:00,resolved,19,0.0,3
CP0312,C0026,O00341,delay,app,medium,2024-12-23 20:58:00,open,12,19.78,2
CP0313,C0028,O00290,delay,chatbot,low,2024-09-27 22:30:00,resolved,2,8.86,1
CP0314,C0378,O00443,supportexperience,app,low,2025-10-28 00:06:00,resolved,6,4.67,1
CP0315,C0517,O00645,missedpickup,chatbot,high,2024-12-28 21:06:00,resolved,14,58.16,3
CP0316,C0454,O00055,missedpickup,phone,medium,2025-06-05 23:44:00,resolved,7,12.97,2
CP0317,C0631,O00406,driverbehaviour,chatbot,medium,2025-01-17 13:07:00,resolved,6,26.52,2
CP0318,C0056,O00628,delay,app,medium,2024-11-02 10:05:00,open,5,20.42,2
CP0319,C0325,O00167,delay,email,medium,2024-04-27 20:46:00,resolved,2,11.9,2
CP0320,C0207,O01179,missedpickup,email,medium,2025-10-16 18:48:00,resolved,1,1.97,2
